AccusedMasterID,CaseMasterID,CrimeNo,AccusedName,AgeYear,GenderID,CrimeRegisteredDate,prior_case_count,prior_cases_last_90d,prior_cases_last_180d,days_since_prev_case,current_case_heinous,prior_heinous_count,prior_heinous_ratio,gravity_escalation_flag,mean_inter_case_days,cadence_acceleration,distinct_crime_heads,repeated_offence_type,mo_consistency_score,recurring_location_count,target_label,is_evaluable
1287,928,100010117202100002,Abdul Achari,,1.0,2021-01-23,0,0,0,365.0,0,0,0.0,0,365.0,1.0,0,0,0.0,0,0,1
4525,3039,100110488202100004,Abdul Achari,,1.0,2021-03-03,1,1,1,39.0,0,0,0.0,0,39.0,1.0,1,0,0.0,1,1,1
9886,6628,800040311202100001,Abdul Achari,17.0,1.0,2021-03-14,2,2,2,11.0,1,0,0.0,1,39.0,0.2821,2,0,0.0,2,1,1
8177,5491,100070383202100007,Abdul Achari,25.0,1.0,2021-03-28,3,3,3,14.0,0,1,0.3333,0,25.0,0.56,3,0,0.0,3,1,1
8104,5452,400210618202100001,Abdul Achari,,1.0,2021-03-30,4,4,4,2.0,0,1,0.25,0,21.33,0.0938,4,0,0.0,4,0,1
7623,5138,100040316202100003,Abdul Achari,22.0,1.0,2021-05-02,5,4,5,33.0,1,1,0.2,1,16.5,2.0,5,0,0.0,5,1,1
7995,5375,100010061202100007,Abdul Achari,20.0,1.0,2021-05-29,6,5,6,27.0,0,2,0.3333,0,19.8,1.3636,6,1,0.5,6,1,1
5175,3512,100100461202100005,Abdul Achari,36.0,1.0,2021-06-25,7,4,7,27.0,0,2,0.2857,0,21.0,1.2857,6,1,0.0,7,1,1
6251,4274,400010083202100002,Abdul Achari,42.0,1.0,2021-07-17,8,3,8,22.0,0,2,0.25,0,21.86,1.0065,6,0,0.0,8,1,1
3294,2233,100240652202100003,Abdul Achari,,1.0,2021-08-03,9,3,8,17.0,1,2,0.2222,1,21.88,0.7771,7,0,0.0,9,1,1
11400,7705,100010132202100009,Abdul Achari,28.0,,2021-08-20,10,4,9,17.0,0,3,0.3,0,21.33,0.7969,8,1,0.0,10,0,1
11878,8015,100110478202100009,Abdul Achari,23.0,3.0,2021-09-28,11,3,6,39.0,1,3,0.2727,1,20.9,1.866,8,1,0.0,11,1,1
10562,7105,100080406202100008,Abdul Achari,,1.0,2021-10-21,12,3,7,23.0,0,4,0.3333,0,22.55,1.0202,8,0,0.0,12,0,1
7198,4872,400090447202100001,Abdul Achari,,1.0,2021-11-22,13,2,7,32.0,1,4,0.3077,1,22.58,1.417,9,1,0.0,13,1,1
652,476,100310707202100001,Abdul Achari,28.0,1.0,2021-12-16,14,3,7,24.0,0,5,0.3571,0,23.31,1.0297,9,1,0.3333,14,1,1
24923,17244,100010099202200011,Abdul Achari,,1.0,2022-01-13,15,3,7,28.0,0,5,0.3333,0,23.36,1.1988,9,1,0.0,15,1,1
22307,15399,100050325202200010,Abdul Achari,30.0,1.0,2022-01-21,16,3,7,8.0,0,5,0.3125,0,23.67,0.338,9,1,0.0,16,1,1
22881,15798,100180589202200015,Abdul Achari,27.0,1.0,2022-01-27,17,4,8,6.0,0,5,0.2941,0,22.69,0.2645,9,1,0.0,17,1,1
15000,10289,100060374202200002,Abdul Achari,28.0,1.0,2022-02-09,18,5,8,13.0,0,5,0.2778,0,21.71,0.5989,9,0,0.0,18,1,1
20794,14305,100010114202200008,Abdul Achari,,1.0,2022-03-04,19,5,8,23.0,0,5,0.2632,0,21.22,1.0838,10,1,0.0,19,1,1
18594,12757,100010165202200006,Abdul Achari,45.0,1.0,2022-03-29,20,5,8,25.0,0,5,0.25,0,21.32,1.1728,10,1,0.0,20,1,1
